Trabajo;Desc. Actuación;Desc. Estado HIPPO Trabajo;Contador de plazo legal;Número de Reclamaciones
918123030432.1;P.S.: CRISTINO MARTOS, 4 MADRID;EJECUTADO;26;26
918123090178.1;P.S.: MADRAZO, 9 MADRID;EJECUTADO;30;16
918124110056.1;P.S.: AMOR DE DIOS, 6 MADRID;EJECUTADO;48;2
918124110249.1;P.S.: RUIZ DE ALARCON, 5 MADRID;REPROGRAMADO;7;2
918221070021.1;P.S.: ALBUFERA, 319 MADRID;EJECUTADO;64;18
918221070082.1;P.S.: CARIDAD, 28 MADRID;REPROGRAMADO;16;3
918222010127.1;P.S.: UZP0204 LOS BERROCALES, 1029 MADRID;REPROGRAMAR;187;1
918222030441.1;P.S.: SANTA JULIA, 46 MADRID;REPROGRAMAR;15;
918222120081.1;P.S.: DE LA ALBUFERA, 0 MADRID;EJECUTADO;312;
918223010355.1;P.S.: PUERTO DE MAGDALENA, 9 MADRID;REPROGRAMAR;79;12
918223020393.1;P.S.: ARROYO FONTARRON, 26 MADRID;REPROGRAMAR;68;6
918223020629.1;P.S.: PEÑA RUBIA, 4 MADRID;REPROGRAMAR;9;7
918223030202.1;P.S.: SECO, 13 MADRID;REPROGRAMADO;54;
918223040207.1;P.S.: FILOSOFA SIMONE WEIL, 10 MADRID;REPROGRAMAR;6;3
918223040369.1;P.S.: FERNANDEZ SHAW, 9 MADRID;REPROGRAMAR;102;3
918223090047.1;P.S.: VILLABLANCA, 34 MADRID;REPROGRAMAR;14;2
918223090096.1;P.S.: JUANA DOÑA, 5 MADRID;REPROGRAMADO;4;9
918223100278.1;P.S.: TOMAS BRETON, 57 MADRID;EJECUTADO;21;11
918223110010.1;P.S.: VILLABLANCA, 34 MADRID;REPROGRAMAR;56;2
918223110096.1;P.S.: TOMAS BRETON, 57 MADRID;REPROGRAMADO;24;5
918223120146.1;P.S.: CARTAGENA DE INDIAS, 50 MADRID;EJECUTADO;60;4
918224010020.1;P.S.: CAVA ALTA, 36 MADRID;REPROGRAMAR;19;8
918224020210.1;P.S.: ESPERANZA GARCIA, 21 MADRID;EJECUTADO;261;1
918224030070.1;P.S.: ASCENSION BIELSA, 15 MADRID;EJECUTADO;187;5
918224030277.1;P.S.: ISLA DE LUZON, 13 MADRID;EJECUTADO;0;5
918224030297.1;P.S.: UZP0103 ENSANCHE VALLECAS, 39 MADRID;EJECUTADO;49;5
918224040095.1;P.S.: ESPERANZA GARCIA, 7 MADRID;REPROGRAMAR;36;6
918224040227.1;P.S.: ZAZUAR, 15 MADRID;REPROGRAMAR;89;1
918224040264.1;P.S.: SAN ILDEFONSO, 0003 MADRID;REPROGRAMAR;324;3
918224040269.1;P.S.: PEDRAFITA DO CEBREIRO, 1 MADRID;REPROGRAMAR;46;2
918224040394.1;P.S.: BOYER, 18 MADRID;REPROGRAMADO;0;4
918224050298.1;P.S.: PROV AHIJONES-BERROCALES5, 62 MADRID;EJECUTADO;33;5
918224060020.1;P.S.: EL REAL DE SAN VICENTE, 27 MADRID;REPROGRAMAR;61;4
918224060105.1;P.S.: JUAN ANTONIO BARDEM, 19 MADRID;EJECUTADO;30;9
918224060250.1;P.S.: PEÑA RUBIA, 4 MADRID;REPROGRAMADO;4;2
918224060351.1;P.S.: ANDALUCIA, 0012 MADRID;REPROGRAMAR;34;13
918224070044.1;P.S.: ANTONIO GADES, 84 MADRID;REPROGRAMADO;128;6
918224070251.1;P.S.: INDALECIO PRIETO, 2 MADRID;REPROGRAMAR;12;20
918224080008.1;P.S.: PUERTA DE MOROS, 0008 MADRID;EJECUTADO;5;
918224090056.1;P.S.: SIERRA DE LA DEMANDA, 63 MADRID;EJECUTADO;31;8
918224090092.1;P.S.: SECO, 13 MADRID;EJECUTADO;9;1
918224090173.1;P.S.: LAS SANTERAS, 51 MADRID;REPROGRAMADO;26;3
918224090265.1;P.S.: CANARIAS, 51 MADRID;REPROGRAMAR;51;8
918224090326.1;P.S.: PROV LOS BERROCALES 71, 39 MADRID;REPROGRAMAR;39;9
918224090340.1;P.S.: CERRO DEL MURMULLO, 63 MADRID;EJECUTABLE;69;6
918224090399.1;P.S.: PROV LOS BERROCALES 68, 25 MADRID;REPROGRAMAR;98;2
918224100252.1;P.S.: FUENCARRAL, 6 MADRID;REPROGRAMADO;15;
918224110061.1;P.S.: DE LA GAVIA, 0 MADRID;EJECUTADO;24;5
918224110294.1;P.S.: PUENTELARRA, 0014 MADRID;REPROGRAMAR;84;2
918224110376.1;P.S.: CIUDAD DE BARCELONA, 0122 MADRID;EJECUTADO;23;2
918224120043.1;P.S.: ESCALA, 8 MADRID;REPROGRAMADO;10;5
918224120044.1;P.S.: PONT DE MOLINS, 11 MADRID;PROGRAMADO;27;2
918224120045.1;P.S.: ESCALA, 19 MADRID;REPROGRAMAR;35;1
918224120094.1;P.S.: MAYORAZGO, 14 MADRID;REPROGRAMAR;27;4
918224120098.1;P.S.: CERRO DE LA ALCAZABA, 3 MADRID;REPROGRAMAR;46;1
918224120118.1;P.S.: UCEDA, 54 MADRID;REPROGRAMAR;16;2
918224120137.1;P.S.: MANUEL NOGUEIRO, 3 MADRID;REPROGRAMAR;34;4
918224120147.1;P.S.: MONTE IGUELDO, 109 MADRID;EJECUTADO;31;3
918224120188.1;P.S.: JOSE ESCOBAR Y SALIENTE, 50 MADRID;EJECUTADO;49;6
918224120229.1;P.S.: VIRGEN DEL PUERTO, 7 MADRID;PROGRAMADO;27;4
918224120259.1;P.S.: MENDEZ ALVARO, 36 MADRID;REPROGRAMAR;19;2
918225010003.1;P.S.: POZO DEL TIO RAIMUNDO, 25 MADRID;REPROGRAMAR;4;2
918225010004.1;P.S.: TINEO, 2 MADRID;REPROGRAMAR;4;2
918225010101.1;P.S.: LOS ROSALES, 120 MADRID;REPROGRAMADO;21;
918225010193.1;P.S.: PARQUE, MADRID;EJECUTADO;18;3
918225010377.1;P.S.: RIVAS, 9 MADRID;EJECUTADO;22;22
918225020073.1;P.S.: SIERRA MOLINA, 30 MADRID;PROGRAMADO;12;3
918225020202.1;P.S.: CONCEJAL VICTORINO GRANIZ, 143 MADRID;EJECUTADO;59;1
918225020341.1;P.S.: JUANA DOÑA, 5 MADRID;EJECUTADO;21;
918225020370.1;P.S.: JAIME VERA, 58 MADRID;REPROGRAMAR;30;3
918225030015.1;P.S.: PALOMERAS, 19 MADRID;REPROGRAMAR;89;4
918225030046.1;P.S.: MAYORAZGO, 0 MADRID;EJECUTADO;43;2
918225030049.1;P.S.: MAYORAZGO, 0 MADRID;REPROGRAMAR;43;2
918225030279.1;P.S.: EVARISTO SAN MIGUEL, 0022 MADRID;PROGRAMADO;4;10
918225030368.1;P.S.: ANCORA, 29 MADRID;REPROGRAMADO;21;
918225030432.1;P.S.: DIALOGO, 31 MADRID;EJECUTADO;19;
918225040115.1;P.S.: JUAN ALVAREZ MENDIZABAL, 0005 MADRID;EJECUTADO;47;
918225040209.1;P.S.: SANTA MARIA SOLEDAD T. ACO 0002 MADRID;EJECUTADO;11;1
918225040213.1;P.S.: ALTO DE LA SARTENILLA, 56 MADRID;EJECUTADO;32;7
918225040237.1;P.S.: JOSE ESCOBAR Y SALIENTE, 49 MADRID;REPROGRAMAR;31;1
918225040245.1;P.S.: IGUALDAD, 18 MADRID;REPROGRAMAR;31;1
918225040268.1;P.S.: PUENTE DEL ARZOBISPO, 62 MADRID;EJECUTADO;26;2
918225040269.1;P.S.: PUENTE DEL ARZOBISPO, 68 MADRID;EJECUTADO;22;1
918225040349.1;P.S.: JUAN TORNERO, 50 MADRID;EJECUTADO;26;3
918225040370.1;P.S.: LICENCIADO VIDRIERAS, 19 MADRID;REPROGRAMAR;31;3
918225050024.1;P.S.: EMBAJADORES, 251 MADRID;REPROGRAMAR;30;1
918225050196.1;P.S.: HACHERO, 17 MADRID;EJECUTADO;44;3
918225050264.1;P.S.: PUERTA DEL SOL, 0011 MADRID;EJECUTABLE;2;4
918225050272.1;P.S.: POSTIGO DE SAN MARTIN, 0005 MADRID;REPROGRAMADO;4;
918225050277.1;P.S.: PRIM, 0005 MADRID;REPROGRAMAR;17;1
918225050282.1;P.S.: IGUALDAD, 121 MADRID;REPROGRAMAR;8;2
918225050377.1;P.S.: CONCILIACION, 7 MADRID;EJECUTABLE;2;2
918225050393.1;P.S.: APODACA, 20 MADRID;REPROGRAMAR;11;1
918225060199.1;P.S.: ARTE FIGURATIVO, 19 MADRID;REPROGRAMADO;14;
918225060319.1;P.S.: ALTO DE LA SARTENILLA, 58 MADRID;PROGRAMADO;4;
918225060379.1;P.S.: RAFAEL ALBERTI, 22 MADRID;PROGRAMADO;5;4
